"Date","BGT North of NE 70th Total","Ped South","Ped North","Bike North","Bike South"
"2019 Jan 01 12:00:00 AM","0","0","0","0","0"
"2019 Jan 01 01:00:00 AM","2","1","0","1","0"
"2019 Jan 01 02:00:00 AM","1","0","0","0","1"
"2019 Jan 01 03:00:00 AM","0","0","0","0","0"
"2019 Jan 01 04:00:00 AM","1","0","0","1","0"
"2019 Jan 01 05:00:00 AM","1","0","0","1","0"
"2019 Jan 01 06:00:00 AM","2","0","0","1","1"
"2019 Jan 01 07:00:00 AM","5","1","0","2","2"
"2019 Jan 01 08:00:00 AM","17","8","3","1","5"
"2019 Jan 01 09:00:00 AM","57","18","17","12","10"
"2019 Jan 01 10:00:00 AM","87","20","29","12","26"
"2019 Jan 01 11:00:00 AM","137","28","18","34","57"
"2019 Jan 01 12:00:00 PM","104","20","17","25","42"
"2019 Jan 01 01:00:00 PM","134","15","24","42","53"
"2019 Jan 01 02:00:00 PM","146","18","22","53","53"
"2019 Jan 01 03:00:00 PM","105","24","22","41","18"
"2019 Jan 01 04:00:00 PM","55","16","20","11","8"
"2019 Jan 01 05:00:00 PM","12","2","5","3","2"
"2019 Jan 01 06:00:00 PM","15","4","4","4","3"
"2019 Jan 01 07:00:00 PM","4","1","2","1","0"
"2019 Jan 01 08:00:00 PM","2","0","1","0","1"
"2019 Jan 01 09:00:00 PM","3","1","2","0","0"
"2019 Jan 01 10:00:00 PM","3","1","0","0","2"
"2019 Jan 01 11:00:00 PM","0","0","0","0","0"
"2019 Jan 02 12:00:00 AM","0","0","0","0","0"
"2019 Jan 02 01:00:00 AM","0","0","0","0","0"
"2019 Jan 02 02:00:00 AM","0","0","0","0","0"
"2019 Jan 02 03:00:00 AM","0","0","0","0","0"
"2019 Jan 02 04:00:00 AM","1","0","0","1","0"
"2019 Jan 02 05:00:00 AM","11","1","2","8","0"
"2019 Jan 02 06:00:00 AM","25","0","2","22","1"
"2019 Jan 02 07:00:00 AM","32","3","3","26","0"
"2019 Jan 02 08:00:00 AM","62","8","7","40","7"
"2019 Jan 02 09:00:00 AM","54","10","15","21","8"
"2019 Jan 02 10:00:00 AM","31","5","8","11","7"
"2019 Jan 02 11:00:00 AM","35","11","12","8","4"
"2019 Jan 02 12:00:00 PM","40","8","11","9","12"
"2019 Jan 02 01:00:00 PM","47","9","10","13","15"
"2019 Jan 02 02:00:00 PM","45","15","6","12","12"
"2019 Jan 02 03:00:00 PM","53","16","9","5","23"
"2019 Jan 02 04:00:00 PM","71","14","11","18","28"
"2019 Jan 02 05:00:00 PM","72","5","4","6","57"
"2019 Jan 02 06:00:00 PM","34","0","0","4","30"
"2019 Jan 02 07:00:00 PM","21","2","3","4","12"
"2019 Jan 02 08:00:00 PM","5","0","0","0","5"
"2019 Jan 02 09:00:00 PM","4","0","0","4","0"
"2019 Jan 02 10:00:00 PM","1","0","0","0","1"
"2019 Jan 02 11:00:00 PM","1","0","0","0","1"
"2019 Jan 03 12:00:00 AM","0","0","0","0","0"
"2019 Jan 03 01:00:00 AM","0","0","0","0","0"
"2019 Jan 03 02:00:00 AM","0","0","0","0","0"
"2019 Jan 03 03:00:00 AM","0","0","0","0","0"
"2019 Jan 03 04:00:00 AM","2","0","0","2","0"
"2019 Jan 03 05:00:00 AM","8","0","0","7","1"
"2019 Jan 03 06:00:00 AM","20","2","2","15","1"
"2019 Jan 03 07:00:00 AM","32","1","5","23","3"
"2019 Jan 03 08:00:00 AM","46","8","10","25","3"
"2019 Jan 03 09:00:00 AM","35","8","8","16","3"
"2019 Jan 03 10:00:00 AM","27","12","9","3","3"
"2019 Jan 03 11:00:00 AM","26","5","6","8","7"
"2019 Jan 03 12:00:00 PM","33","10","13","6","4"
"2019 Jan 03 01:00:00 PM","30","9","10","4","7"
"2019 Jan 03 02:00:00 PM","20","2","4","7","7"
"2019 Jan 03 03:00:00 PM","19","4","5","1","9"
"2019 Jan 03 04:00:00 PM","29","3","4","3","19"
"2019 Jan 03 05:00:00 PM","47","5","8","4","30"
"2019 Jan 03 06:00:00 PM","28","3","1","4","20"
"2019 Jan 03 07:00:00 PM","15","0","2","1","12"
"2019 Jan 03 08:00:00 PM","2","0","1","0","1"
"2019 Jan 03 09:00:00 PM","2","0","0","1","1"
"2019 Jan 03 10:00:00 PM","0","0","0","0","0"
"2019 Jan 03 11:00:00 PM","0","0","0","0","0"
"2019 Jan 04 12:00:00 AM","0","0","0","0","0"
"2019 Jan 04 01:00:00 AM","0","0","0","0","0"
"2019 Jan 04 02:00:00 AM","0","0","0","0","0"
"2019 Jan 04 03:00:00 AM","2","0","0","0","2"
"2019 Jan 04 04:00:00 AM","1","0","0","1","0"
"2019 Jan 04 05:00:00 AM","6","0","0","4","2"
"2019 Jan 04 06:00:00 AM","18","2","1","14","1"
"2019 Jan 04 07:00:00 AM","35","3","4","23","5"
"2019 Jan 04 08:00:00 AM","67","11","11","37","8"
"2019 Jan 04 09:00:00 AM","50","6","11","25","8"
"2019 Jan 04 10:00:00 AM","52","14","14","14","10"
"2019 Jan 04 11:00:00 AM","43","13","8","11","11"
"2019 Jan 04 12:00:00 PM","75","18","16","18","23"
"2019 Jan 04 01:00:00 PM","62","11","17","19","15"
