"Date","Chief Sealth TRL North of Thistle Total","Ped South","Ped North","Bike South","Bike North"
"2014 Jan 01 12:00:00 AM","0","0","0","0","0"
"2014 Jan 01 01:00:00 AM","0","0","0","0","0"
"2014 Jan 01 02:00:00 AM","0","0","0","0","0"
"2014 Jan 01 03:00:00 AM","2","1","1","0","0"
"2014 Jan 01 04:00:00 AM","0","0","0","0","0"
"2014 Jan 01 05:00:00 AM","0","0","0","0","0"
"2014 Jan 01 06:00:00 AM","0","0","0","0","0"
"2014 Jan 01 07:00:00 AM","2","1","1","0","0"
"2014 Jan 01 08:00:00 AM","3","1","2","0","0"
"2014 Jan 01 09:00:00 AM","3","1","2","0","0"
"2014 Jan 01 10:00:00 AM","2","1","1","0","0"
"2014 Jan 01 11:00:00 AM","0","0","0","0","0"
"2014 Jan 01 12:00:00 PM","0","0","0","0","0"
"2014 Jan 01 01:00:00 PM","4","1","3","0","0"
"2014 Jan 01 02:00:00 PM","5","2","2","0","1"
"2014 Jan 01 03:00:00 PM","0","0","0","0","0"
"2014 Jan 01 04:00:00 PM","2","0","0","1","1"
"2014 Jan 01 05:00:00 PM","0","0","0","0","0"
"2014 Jan 01 06:00:00 PM","0","0","0","0","0"
"2014 Jan 01 07:00:00 PM","0","0","0","0","0"
"2014 Jan 01 08:00:00 PM","0","0","0","0","0"
"2014 Jan 01 09:00:00 PM","0","0","0","0","0"
"2014 Jan 01 10:00:00 PM","0","0","0","0","0"
"2014 Jan 01 11:00:00 PM","2","1","0","0","1"
"2014 Jan 02 12:00:00 AM","0","0","0","0","0"
"2014 Jan 02 01:00:00 AM","0","0","0","0","0"
"2014 Jan 02 02:00:00 AM","0","0","0","0","0"
"2014 Jan 02 03:00:00 AM","0","0","0","0","0"
"2014 Jan 02 04:00:00 AM","0","0","0","0","0"
"2014 Jan 02 05:00:00 AM","0","0","0","0","0"
"2014 Jan 02 06:00:00 AM","2","2","0","0","0"
"2014 Jan 02 07:00:00 AM","5","1","2","0","2"
