"Date","MTS Trl West of I-90 Bridge Total","Pedestrian West","Pedestrian East","Bike East","Bike West","Scooter East","Scooter West"
"2013 Dec 18 12:00:00 AM","1","0","0","1","0",,
"2013 Dec 18 01:00:00 AM","1","0","0","1","0",,
"2013 Dec 18 02:00:00 AM","3","1","1","0","1",,
"2013 Dec 18 03:00:00 AM","1","1","0","0","0",,
"2013 Dec 18 04:00:00 AM","2","0","0","0","2",,
"2013 Dec 18 05:00:00 AM","8","1","0","6","1",,
"2013 Dec 18 06:00:00 AM","11","0","1","4","6",,
"2013 Dec 18 07:00:00 AM","31","4","0","11","16",,
"2013 Dec 18 08:00:00 AM","21","1","1","10","9",,
"2013 Dec 18 09:00:00 AM","18","2","4","9","3",,
"2013 Dec 18 10:00:00 AM","8","0","1","3","4",,
"2013 Dec 18 11:00:00 AM","20","3","2","6","9",,
"2013 Dec 18 12:00:00 PM","16","0","1","6","9",,
"2013 Dec 18 01:00:00 PM","137","56","76","3","2",,
"2013 Dec 18 02:00:00 PM","16","1","3","6","6",,
"2013 Dec 18 03:00:00 PM","19","3","1","8","7",,
"2013 Dec 18 04:00:00 PM","28","4","3","10","11",,
"2013 Dec 18 05:00:00 PM","35","4","11","12","8",,
"2013 Dec 18 06:00:00 PM","35","4","3","8","20",,
"2013 Dec 18 07:00:00 PM","14","2","1","2","9",,
"2013 Dec 18 08:00:00 PM","4","0","1","1","2",,
"2013 Dec 18 09:00:00 PM","5","3","0","1","1",,
"2013 Dec 18 10:00:00 PM","0","0","0","0","0",,
"2013 Dec 18 11:00:00 PM","2","0","0","1","1",,
"2013 Dec 19 12:00:00 AM","0","0","0","0","0",,
"2013 Dec 19 01:00:00 AM","0","0","0","0","0",,
"2013 Dec 19 02:00:00 AM","0","0","0","0","0",,
"2013 Dec 19 03:00:00 AM","0","0","0","0","0",,
"2013 Dec 19 04:00:00 AM","4","0","1","0","3",,
"2013 Dec 19 05:00:00 AM","1","0","0","1","0",,
"2013 Dec 19 06:00:00 AM","7","1","0","3","3",,
"2013 Dec 19 07:00:00 AM","23","1","1","6","15",,
"2013 Dec 19 08:00:00 AM","30","2","1","17","10",,
"2013 Dec 19 09:00:00 AM","17","1","1","10","5",,
"2013 Dec 19 10:00:00 AM","12","1","3","7","1",,
