"Date","NW 58th St Greenway st 22nd Ave NW Total","East","West"
"2019 Jan 01 12:00:00 AM","1","1","0"
"2019 Jan 01 01:00:00 AM","2","0","2"
"2019 Jan 01 02:00:00 AM","0","0","0"
"2019 Jan 01 03:00:00 AM","1","0","1"
"2019 Jan 01 04:00:00 AM","0","0","0"
"2019 Jan 01 05:00:00 AM","0","0","0"
"2019 Jan 01 06:00:00 AM","0","0","0"
"2019 Jan 01 07:00:00 AM","1","0","1"
"2019 Jan 01 08:00:00 AM","3","1","2"
"2019 Jan 01 09:00:00 AM","1","1","0"
"2019 Jan 01 10:00:00 AM","1","0","1"
"2019 Jan 01 11:00:00 AM","2","1","1"
"2019 Jan 01 12:00:00 PM","7","5","2"
"2019 Jan 01 01:00:00 PM","10","8","2"
"2019 Jan 01 02:00:00 PM","3","2","1"
"2019 Jan 01 03:00:00 PM","13","5","8"
"2019 Jan 01 04:00:00 PM","10","7","3"
"2019 Jan 01 05:00:00 PM","6","2","4"
"2019 Jan 01 06:00:00 PM","1","0","1"
"2019 Jan 01 07:00:00 PM","2","2","0"
"2019 Jan 01 08:00:00 PM","2","2","0"
"2019 Jan 01 09:00:00 PM","2","1","1"
"2019 Jan 01 10:00:00 PM","0","0","0"
"2019 Jan 01 11:00:00 PM","0","0","0"
"2019 Jan 02 12:00:00 AM","1","0","1"
"2019 Jan 02 01:00:00 AM","0","0","0"
"2019 Jan 02 02:00:00 AM","0","0","0"
"2019 Jan 02 03:00:00 AM","0","0","0"
"2019 Jan 02 04:00:00 AM","0","0","0"
"2019 Jan 02 05:00:00 AM","0","0","0"
"2019 Jan 02 06:00:00 AM","2","1","1"
"2019 Jan 02 07:00:00 AM","4","3","1"
"2019 Jan 02 08:00:00 AM","4","3","1"
"2019 Jan 02 09:00:00 AM","9","6","3"
"2019 Jan 02 10:00:00 AM","2","2","0"
"2019 Jan 02 11:00:00 AM","4","4","0"
"2019 Jan 02 12:00:00 PM","9","6","3"
"2019 Jan 02 01:00:00 PM","5","2","3"
"2019 Jan 02 02:00:00 PM","3","2","1"
"2019 Jan 02 03:00:00 PM","4","4","0"
"2019 Jan 02 04:00:00 PM","8","2","6"
"2019 Jan 02 05:00:00 PM","16","9","7"
